"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Ji Y.-H.; Jiang Y.-Y.","Ji, Ying-Hua (7402076751); Jiang, Yan-Yan (55733615700)","7402076751; 55733615700","Investigation of decoherence of superconducting flux qubit entangled with the environment","2008","Modern Physics Letters B","22","8","","581","594","13","3","10.1142/S021798490801505X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43949083030&doi=10.1142%2fS021798490801505X&partnerID=40&md5=22c5377b1bd4d9b141de72d97bd8792e","College of Physics and Communication Electronics, Jiangxi Normal University, Nanchang, Jiangxi 330022, China; Key Laboratory of Optoelectronic and Telecommunication of Jiangxi, Nanchang, Jiangxi 330022, China; Department of Physics, Anqing Teachers College, Anqing, Anhui 246011, China","Ji Y.-H., College of Physics and Communication Electronics, Jiangxi Normal University, Nanchang, Jiangxi 330022, China, Key Laboratory of Optoelectronic and Telecommunication of Jiangxi, Nanchang, Jiangxi 330022, China; Jiang Y.-Y., College of Physics and Communication Electronics, Jiangxi Normal University, Nanchang, Jiangxi 330022, China, Department of Physics, Anqing Teachers College, Anqing, Anhui 246011, China","In the Born-Markov approximation, decoherence property of superconducting quantum circuit with a flux qubit is investigated. Using Kirchhoff's laws of classical circuit and quantum theory, we derive a Hamiltonian of the circuit. Then, combining with the Bloch-Redfield equation and in the two-level approximation, the energy relaxation time and the decoherence time of superconducting qubits is studied. Compared to the spin-boson model, this method not only investigates a decoherence being caused by the dissipative environment, but also the decoherence being generated by the dissipative elements in a superconducting electronic circuit. Hence, it is good for studying the decoherence of superconducting qubits. © 2008 World Scientific Publishing Company.","Born-Markov approximation; Decoherence; Flux qubit","","","","","","","02179849","","MPLBE","","English","Mod. Phys. Lett. B","Article","Final","","Scopus","2-s2.0-43949083030"
"Spekkens R.W.; Rudolph T.","Spekkens, R.W. (6602168730); Rudolph, T. (7004576310)","6602168730; 7004576310","Optimizing the EPR cheat strategy in quantum cryptography","2001","Optics InfoBase Conference Papers","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135626148&partnerID=40&md5=83f520e1427998004ef94bf2a4d600f9","Department of Physics, University of Toronto, 60 St. George st., Toronto, M5S 1A7, Canada; Institut für Experimentalphysik, Universität Wien, Boltzmanngaße 5, Vienna, 1090, Austria; The Erwin Schrödinger International Institute for Mathematical Physics, Boltzmanngaße 9, Vienna, 1090, Austria","Spekkens R.W., Department of Physics, University of Toronto, 60 St. George st., Toronto, M5S 1A7, Canada; Rudolph T., Department of Physics, University of Toronto, 60 St. George st., Toronto, M5S 1A7, Canada, Institut für Experimentalphysik, Universität Wien, Boltzmanngaße 5, Vienna, 1090, Austria, The Erwin Schrödinger International Institute for Mathematical Physics, Boltzmanngaße 9, Vienna, 1090, Austria","The problem of determining the optimal EPR cheat strategy in quantum bit commitment is formulated and its solution is provided for the case of protocols that can be implemented using a single qubit. © 2001 OSA/ICQI 2001.","","Bit commitment; Single qubits; Quantum cryptography","","","","","Optica Publishing Group (formerly OSA)","21622701","1557526540","","","English","Opt. InfoBase Conf. Pap","Conference paper","Final","","Scopus","2-s2.0-85135626148"
"Bandic M.; Almudever C.G.; Feld S.","Bandic, Medina (57221260637); Almudever, Carmen G. (57197722496); Feld, Sebastian (55835561200)","57221260637; 57197722496; 55835561200","Interaction graph-based characterization of quantum benchmarks for improving quantum circuit mapping techniques","2023","Quantum Machine Intelligence","5","2","40","","","","0","10.1007/s42484-023-00124-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173610733&doi=10.1007%2fs42484-023-00124-1&partnerID=40&md5=559c96e89f0caa47e91cba07db707648","Delft University of Technology, Delft, Netherlands; QuTech, Delft, Netherlands; Technical University of Valencia, Valencia, Spain","Bandic M., Delft University of Technology, Delft, Netherlands, QuTech, Delft, Netherlands; Almudever C.G., Technical University of Valencia, Valencia, Spain; Feld S., Delft University of Technology, Delft, Netherlands, QuTech, Delft, Netherlands","To execute quantum circuits on a quantum processor, they must be modified to meet the physical constraints of the quantum device. This process, called quantum circuit mapping, results in a gate/circuit depth overhead that depends on both the circuit properties and the hardware constraints, being the limited qubit connectivity a crucial restriction. In this paper, we propose to extend the characterization of quantum circuits by including qubit interaction graph properties using graph theory-based metrics in addition to previously used circuit-describing parameters. This approach allows for an in-depth analysis and clustering of quantum circuits and a comparison of performance when run on different quantum processors, aiding in developing better mapping techniques. Our study reveals a correlation between interaction graph-based parameters and mapping performance metrics for various existing configurations of quantum devices. We also provide a comprehensive collection of quantum circuits and algorithms for benchmarking future compilation techniques and quantum devices. © 2023, The Author(s).","Benchmarks; Compiler; Full-stack quantum computing systems; Profiling; Quantum circuit mapping; Quantum circuits","Computation theory; Electric network analysis; Mapping; Quantum optics; Qubits; Timing circuits; Benchmark; Circuit mapping; Compiler; Full-stack quantum computing system; Interaction graphs; Profiling; Quantum circuit; Quantum circuit mapping; Quantum computing systems; Graph theory","European ERDF, (PID2021-123627OB-C51); Intel Corporation; European Commission, EC; Ministerio de Ciencia e Innovación, MICINN; Agencia Estatal de Investigación, AEI, (MCIN/AEI/10.13039/501100011033)","The authors sincerely appreciate the contribution of Nikiforos Paraskevopoulos in creating the benchmark collection and its documentation, as well as scientific discussions with Prof. Eduard Alarcon (UPC). MB and SF would also like to acknowledge funding from Intel Corporation. This work has been partially supported by the Spanish Ministerio de Ciencia e Innovación and European ERDF under grant PID2021-123627OB-C51 and by the QuantERA grant EQUIP, by the Ministerio de Ciencia e Innovación and Agencia Estatal de Investigación, MCIN/AEI/10.13039/501100011033, and by the European Union “NextGenerationEU/PRTR” (CGA). ","M. Bandic; Delft University of Technology, Delft, Netherlands; email: m.bandic@tudelft.nl","","Springer Science and Business Media Deutschland GmbH","25244906","","","","English","Quantum Mach. Intell.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85173610733"
"Hansen I.; Seedhouse A.E.; Chan K.W.; Hudson F.E.; Itoh K.M.; Laucht A.; Saraiva A.; Yang C.H.; Dzurak A.S.","Hansen, I. (57226882361); Seedhouse, A.E. (57219590512); Chan, K.W. (36241451800); Hudson, F.E. (8625632100); Itoh, K.M. (24558798900); Laucht, A. (18536478200); Saraiva, A. (8598462500); Yang, C.H. (55861862900); Dzurak, A.S. (7004650676)","57226882361; 57219590512; 36241451800; 8625632100; 24558798900; 18536478200; 8598462500; 55861862900; 7004650676","Implementation of an advanced dressing protocol for global qubit control in silicon","2022","Applied Physics Reviews","9","3","031409","","","","6","10.1063/5.0096467","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139122353&doi=10.1063%2f5.0096467&partnerID=40&md5=081368f6548dfccce1976b3bff4e2480","School of Electrical Engineering and Telecommunications, The University of New South Wales, Sydney, 2052, NSW, Australia; School of Fundamental Science and Technology, Keio University, Yokohama, Japan","Hansen I., School of Electrical Engineering and Telecommunications, The University of New South Wales, Sydney, 2052, NSW, Australia; Seedhouse A.E., School of Electrical Engineering and Telecommunications, The University of New South Wales, Sydney, 2052, NSW, Australia; Chan K.W., School of Electrical Engineering and Telecommunications, The University of New South Wales, Sydney, 2052, NSW, Australia; Hudson F.E., School of Electrical Engineering and Telecommunications, The University of New South Wales, Sydney, 2052, NSW, Australia; Itoh K.M., School of Fundamental Science and Technology, Keio University, Yokohama, Japan; Laucht A., School of Electrical Engineering and Telecommunications, The University of New South Wales, Sydney, 2052, NSW, Australia; Saraiva A., School of Electrical Engineering and Telecommunications, The University of New South Wales, Sydney, 2052, NSW, Australia; Yang C.H., School of Electrical Engineering and Telecommunications, The University of New South Wales, Sydney, 2052, NSW, Australia; Dzurak A.S., School of Electrical Engineering and Telecommunications, The University of New South Wales, Sydney, 2052, NSW, Australia","Quantum computing based on solid state spins allows for densely packed arrays of quantum bits. However, the operation of large-scale quantum processors requires a shift in paradigm toward global control solutions. Here, we report a proof-of-principle demonstration of the SMART (sinusoidally modulated, always rotating, and tailored) qubit protocol. We resonantly drive a two-level system and add a tailored modulation to the dressing field to increase robustness to frequency detuning noise and microwave amplitude fluctuations. We measure a coherence time of 2 ms, corresponding to two orders of magnitude improvement compared to a bare spin, and an average Clifford gate fidelity exceeding 99%, despite the relatively long qubit gate times. We stress that the potential of this work lies in the scalability of the protocol and the relaxation of the engineering constraints for a large-scale quantum processor. This work shows that future scalable spin qubit arrays could be operated using global microwave control and local gate addressability, while increasing robustness to relevant experimental inhomogeneities.  © 2022 Author(s).","","Quantum optics; Robustness (control systems); Silicon; Control solutions; Frequency detuning; Global control; Large-scales; Noise amplitude; Packed arrays; Proof of principles; Quantum Computing; Quantum processors; Two-level system; Qubits","Sydney Quantum Academy; Army Research Office, ARO, (W911NF-17–1-0198); Australian National Fabrication Facility, ANFF; Australian Research Council, ARC, (CE170100012, FL190100167)","We acknowledge support from the Australian Research Council (Nos. FL190100167 and CE170100012), the U.S. Army Research Office (No. W911NF-17–1-0198), and the New South Wales Node of the Australian National Fabrication Facility. The views and conclusions contained in this document are those of the authors and should not be interpreted as representing the official policies, either expressed or implied, of the Army Research Office or the U.S. Government. The U.S. Government is authorized to reproduce and distribute reprints for Government purposes notwithstanding any copyright notation herein. I.H. and A.E.S. acknowledge support from Sydney Quantum Academy.","I. Hansen; School of Electrical Engineering and Telecommunications, The University of New South Wales, Sydney, 2052, Australia; email: i.hansen@unsw.edu.au","","American Institute of Physics Inc.","19319401","","","","English","Appl. Phys. Rev.","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85139122353"
"Berggren K.K.","Berggren, Karl K. (7004441338)","7004441338","Quantum computing with superconductors","2004","Proceedings of the IEEE","92","10","","1630","1638","8","29","10.1109/JPROC.2004.833672","https://www.scopus.com/inward/record.uri?eid=2-s2.0-21244459541&doi=10.1109%2fJPROC.2004.833672&partnerID=40&md5=cf0f68b303016ff7f8b3633cc507239e","MIT Lincoln Laboratory, Lexington, MA 02420, United States; Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA 02139, United States","Berggren K.K., MIT Lincoln Laboratory, Lexington, MA 02420, United States, Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA 02139, United States","Superconductive technology is one of the most promising approaches to quantum computing because it offers devices with little dissipation, ultrasensitive magnetometers, and electrometers for state readout, large-scale-integration, and a family of classical electronics that could be used for quantum bit (qubit) control. The challenges this technology faces, however, are substantial: for example, control of the qubit to a part in ∼104 must be accomplished with analog control pulses. But even after this is done, the accuracy is limited by the unavoidable decay of quantum information in the system. Recent experiments suggest the time over which this decay occurs is <1 μs, though it is expected to lengthen as experimental methods improve. A 1-μs decay time would mandate a very difficult to achieve maximum time of ∼100 ps per analog operation. Thus, quantum computing is, simultaneously a promising technology for solving certain very hard problems in computer science and a daunting challenge for those working to develop that technology. © 2004 IEEE.","Josephson junction qubit; Macroscopic quantum coherence; Quantum computing; Superconductive qubit","Computational complexity; Computer simulation; Error correction; LSI circuits; Nuclear magnetic resonance; Quantum theory; Relaxation processes; Superconductivity; Josephson junction qubit; Macroscopic quantum coherence; Quantum computing; Superconductive qubit; Josephson junction devices","Air Force, (F19628-00-C-002); Air Force Office of Scientific Research, AFOSR","Manuscript received December 6, 2003; revised March 22, 2004. This work was supported in part by the Air Force Office of Scientific Research under Air Force Contract F19628-00-C-002.","K.K. Berggren; Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA 02139, United States; email: berggren@mit.edu","","Institute of Electrical and Electronics Engineers Inc.","00189219","","IEEPA","","English","Proc. IEEE","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-21244459541"
"Lin C.-Y.; Lin S.-W.; Chen Y.-R.","Lin, Cheng-Nuan (57844765900); Lin, Shang-Wei (55813047300); Chen, Yean-Ru (13105936900)","57844765900; 55813047300; 13105936900","Dynamic Assertions for Quantum Circuits Based on Stabilizers","2022","Proceedings of SPIE - The International Society for Optical Engineering","12133","","121330I","","","","0","10.1117/12.2632655","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135951208&doi=10.1117%2f12.2632655&partnerID=40&md5=62106af57ba410a83de315efd5999c49","Department of Electrical Engineering, National Cheng Kung University, Taiwan; School of Computer Engineering, Nanyang Technological University, Singapore","Lin C.-Y., Department of Electrical Engineering, National Cheng Kung University, Taiwan; Lin S.-W., School of Computer Engineering, Nanyang Technological University, Singapore; Chen Y.-R., Department of Electrical Engineering, National Cheng Kung University, Taiwan","Quantum computing is computationally more powerful than classical one due to the features of superposition and entanglement of quantum bits (qubits). However, because of the non-cloning property, measuring qubits in superposition forces them to collapse onto classical ones, which makes traditional run-time techniques for debugging and analyzing hardware circuits infeasible. To overcome this issue, previous works proposed the concept of quantum dynamic runtime assertion. Stabilizer is an approach adopted for correcting quantum errors. The quantum state can remain unchanged after several Pauli operations. We call these Pauli operations a stabilizer. In this work, we propose to use the quantum stabilizers for dynamic runtime assertions, which requires less quantum gates and increases the detect accuracy on Noisy intermediate scale quantum(NISQ). © 2022 SPIE.","","Program debugging; Quantum entanglement; Qubits; Timing circuits; Dynamic assertions; Hardware circuits; Property; Quantum circuit; Quantum Computing; Quantum dynamics; Quantum error; Runtime assertion; Runtimes; Stabiliser; Quantum optics","","","Y.-R. Chen; Department of Electrical Engineering, National Cheng Kung University, Taiwan; email: chenyr@mail.ncku.edu.tw","Diamanti E.; Ducci S.; Treps N.; Whitlock S.","SPIE","0277786X","978-151065142-5","PSISD","","English","Proc SPIE Int Soc Opt Eng","Conference paper","Final","","Scopus","2-s2.0-85135951208"
"Moussa K.H.; Abd-Elbaset M.; Abouelseoud Y.; Elkamchochi H.M.","Moussa, Karim H. (57215520757); Abd-Elbaset, Mohamed (57231549900); Abouelseoud, Yasmine (24723509600); Elkamchochi, Hassan M. (6603927431)","57215520757; 57231549900; 24723509600; 6603927431","A Symmetric Key Dynamic Gates Encryption Algorithm Based on Quantum Computing","2021","National Radio Science Conference, NRSC, Proceedings","2021-July","","9509818","109","116","7","3","10.1109/NRSC52299.2021.9509818","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113458854&doi=10.1109%2fNRSC52299.2021.9509818&partnerID=40&md5=b468f6af49bbbd401b72ebb602587014","Horus University in Egypt, Faculty of Engineering, New Damietta, Damietta, Egypt; Alexandria University, Faculty of Engineering, Alexandria, Egypt","Moussa K.H., Horus University in Egypt, Faculty of Engineering, New Damietta, Damietta, Egypt; Abd-Elbaset M., Alexandria University, Faculty of Engineering, Alexandria, Egypt; Abouelseoud Y., Alexandria University, Faculty of Engineering, Alexandria, Egypt; Elkamchochi H.M., Alexandria University, Faculty of Engineering, Alexandria, Egypt","Quantum cryptography utilizes the quantum properties of photons to construct an unbreakable crypto-algorithm in real-time. In this paper, based on quantum and classical computation principles, a new quantum encryption algorithm using the symmetric key is presented. It is a block-cipher algorithm which means that each message contains blocks in which 4 bits for each. Firstly, keyed rotations and permutation of the message bits are used. Secondly, the encrypted message is converted to qubits then several dynamic quantum gates are applied to them key dependently to make the ciphertext state reach the state of non-orthogonality. In consequence of the principles of quantum mechanics, the eaves cannot distinguish the non-orthogonal states of the encrypted message. The proposed algorithm is proofed to increase the message space, the various algorithm analysis proofed that our proposed algorithm has an improved strength against various attacks, including the brute force attack.  © 2021 IEEE.","Pauli Gates; Quantum Bits (Qubits); Quantum Cryptography; Trojan Horse Attack","Quantum computers; Quantum cryptography; Algorithm analysis; Block cipher algorithms; Brute-force attack; Encrypted messages; Encryption algorithms; Quantum Computing; Quantum encryption algorithm; Quantum properties; Quantum theory","","","","Sadek R.A.; Kishk S.E.","Institute of Electrical and Electronics Engineers Inc.","","978-166541857-7","","","English","Nat Radio Sci Conf NRSC Proc","Conference paper","Final","","Scopus","2-s2.0-85113458854"
"Mahmud N.; El-Araby E.","Mahmud, Naveed (57205023457); El-Araby, Esam (8615346600)","57205023457; 8615346600","Improving emulation of quantum algorithms using space-efficient hardware architectures","2019","Proceedings of the International Conference on Application-Specific Systems, Architectures and Processors","2019-July","","8825131","206","213","7","0","10.1109/ASAP.2019.000-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072615277&doi=10.1109%2fASAP.2019.000-1&partnerID=40&md5=36c070fdd9d78f38a1e67084e87dd5be","Electrical Engineering and Computer Science, University of Kansas, Lawrence, 66045, KS, United States","Mahmud N., Electrical Engineering and Computer Science, University of Kansas, Lawrence, 66045, KS, United States; El-Araby E., Electrical Engineering and Computer Science, University of Kansas, Lawrence, 66045, KS, United States","With rapid advancement in quantum computing technology, continuous efforts are being directed to simulation and emulation of quantum algorithms on classical platforms. A well-known limitation to classical emulation of quantum circuits is scalability. Existing hardware emulators implement gate-based circuit models of quantum circuits that result in heavy resource utilization and degrade the scalability of the system. Also, current quantum emulation hardware use fixedpoint arithmetic, which has an adverse effect on accuracy when the system is scaled up. In this work, we employ a complexmultiply-and-accumulate (CMAC) and lookup-based emulation approach that greatly reduces resource utilization and improves system scalability in terms of number of emulated qubits. We demonstrate emulation of up to 16 fully-entangled qubits which is highest among existing work. We design fully-pipelined, highthroughput hardware architectures that use floating-point precision for higher accuracy. Experimental evaluation and analysis of the architectures in terms of speed and area is also provided. The emulator is prototyped on a high-performance reconfigurable computing (HPRC) system and our results demonstrate quantitative improvement over existing Field-Programmable-Gate-Array (FPGA)-based hardware emulators. © 2019 IEEE.","Field Programmable-Gate-Arrays; Quantum Computing Emulation","Digital arithmetic; Field programmable gate arrays (FPGA); Logic gates; Quantum entanglement; Quantum optics; Qubits; Reconfigurable architectures; Scalability; Signal receivers; Simulation platform; Experimental evaluation; Hardware architecture; Hardware emulators; High performance reconfigurable computing; Quantum algorithms; Quantum Computing; Resource utilizations; System scalability; Computer circuits","","","","","Institute of Electrical and Electronics Engineers Inc.","10636862","978-172811601-3","PIAAF","","English","Proc Int Conf Appl Spec Syst Arcitec Process Proc","Conference paper","Final","","Scopus","2-s2.0-85072615277"
"Huang J.; Chi Y.; Zhang Z.; Yang Y.; Gong Q.; Wang J.","Huang, Jieshan (57478068500); Chi, Yulin (57455130800); Zhang, Zhanchuan (57477428800); Yang, Yan (55719898600); Gong, Qihuang (57685101000); Wang, Jianwei (55416899900)","57478068500; 57455130800; 57477428800; 55719898600; 57685101000; 55416899900","A Programmable Photonic Chip for High-dimensional Quantum Computing","2022","IEEE Region 10 Annual International Conference, Proceedings/TENCON","2022-November","","","","","","0","10.1109/TENCON55691.2022.9977476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145663167&doi=10.1109%2fTENCON55691.2022.9977476&partnerID=40&md5=93dc54281add1737adad0309761440de","School of Physics, Peking University, State Key Laboratory for Mesoscopic Physics, Beijing, China; Institute of Microelectronics, Chinese Academy of Sciences, Beijing, China","Huang J., School of Physics, Peking University, State Key Laboratory for Mesoscopic Physics, Beijing, China; Chi Y., School of Physics, Peking University, State Key Laboratory for Mesoscopic Physics, Beijing, China; Zhang Z., School of Physics, Peking University, State Key Laboratory for Mesoscopic Physics, Beijing, China; Yang Y., Institute of Microelectronics, Chinese Academy of Sciences, Beijing, China; Gong Q., School of Physics, Peking University, State Key Laboratory for Mesoscopic Physics, Beijing, China; Wang J., School of Physics, Peking University, State Key Laboratory for Mesoscopic Physics, Beijing, China","Controlling and programming quantum devices to process quantum information by the unit of qudit provides the possibilities for noise-resilient quantum communications, delicate quantum molecular simulations, and efficient quantum computations, showing great potential to enhance the capabilities of qubit-based quantum technologies. Here, we report a programmable high-dimensional quantum processor in a silicon-photonic in-tegrated circuit, which monolithically integrates all the key functionalities and capabilities of initialisation, manipulation, and measurement of the two quantum quart (ququart) states, and demonstrate its enhancement of quantum computational paral-lelism. By reprogramming the processor, we implemented the basic quantum Fourier transform algorithms, all in quaternary, to benchmark the enhancement of quantum parallelism using qudits. The monolithic integration and high programmability have allowed the implementations of more than one million high-fidelity preparations, operations and projections of qudit states in the processor. Our work shows an integrated photonic quantum technology for qudit-based quantum computing with enhanced capacity, accuracy, and efficiency, which could lead to the acceleration of building a large-scale Quantum computer. © 2022 IEEE.","high dimension; nanophotonics; programmable circuit; qudit-based quantum state","Photonic devices; Quantum communication; Quantum efficiency; Quantum optics; Qubits; Timing circuits; High-dimensional; Higher dimensions; Higher-dimensional; Photonic chips; Programmable circuits; Programmable photonics; Quantum Computing; Quantum state; Quantum technologies; Qudit-based quantum state; Silicon photonics","Key R&D Program of Guangdong Province, (2018B030329001); Key RandD Program of Guangdong Province; National Natural Science Foundation of China, NSFC, (61590933, 61675007, 61775003, 61904196, 61975001); Natural Science Foundation of Beijing Municipality, (Z190005); National Key Research and Development Program of China, NKRDPC, (2018YFA0704404, 2018YFB1107205, 2018YFB2200403, 2019YFA0308702)","Funding text 1: The authors would like to thank X.Wang and S.Tao for useful discussions and assistance of experiment. We acknowledge support from Beijing Natural Science Foundation (Z190005), the National Key RandD Program of China (nos 2019YFA0308702, 2018YFB1107205, 2018YFB2200403, 2018YFA0704404), the Natural Science Foundation of China (nos 61975001, 61590933, 61904196, 61675007, 61775003), and Key RandD Program of Guangdong Province (2018B030329001); Funding text 2: The authors would like to thank X.Wang and S.Tao for useful discussions and assistance of experiment. We acknowledge support from Beijing Natural Science Foundation (Z190005), the National Key R&D Program of China (nos 2019YFA0308702, 2018YFB1107205, 2018YFB2200403, 2018YFA0704404), the Natural Science Foundation of China (nos 61975001, 61590933, 61904196, 61675007, 61775003), and Key R&D Program of Guangdong Province (2018B030329001).","","","Institute of Electrical and Electronics Engineers Inc.","21593442","978-166545095-9","85QXA","","English","IEEE Reg 10 Annu Int Conf Proc TENCON","Conference paper","Final","","Scopus","2-s2.0-85145663167"
"Vandersypen L.; Van Leeuwenhoek A.","Vandersypen, Lieven (6602448760); Van Leeuwenhoek, Antoni (57193752084)","6602448760; 57193752084","Quantum computing - The next challenge in circuit and system design","2017","Digest of Technical Papers - IEEE International Solid-State Circuits Conference","60","","7870244","24","29","5","43","10.1109/ISSCC.2017.7870244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016238006&doi=10.1109%2fISSCC.2017.7870244&partnerID=40&md5=00fd8f28cc380efc72bf53f31fc29a5f","QuTech and Kavli Institute of NanoScience, TU Delft, Netherlands","Vandersypen L., QuTech and Kavli Institute of NanoScience, TU Delft, Netherlands; Van Leeuwenhoek A., QuTech and Kavli Institute of NanoScience, TU Delft, Netherlands","Quantum computers have the potential to tackle problems in materials science, chemistry, and mathematics that are well beyond the reach of supercomputers. Their power derives from the use of quantum bits, which can exist in both 0 and 1 simultaneously, a so-called quantum superposition state. This leads to a computing power that doubles with every additional quantum bit. © 2017 IEEE.","","Quantum computers; Supercomputers; Timing circuits; Computing power; Quantum bits; Quantum Computing; Quantum superposition state; Quantum theory","","","","Fujino L.C.","Institute of Electrical and Electronics Engineers Inc.","01936530","978-150903757-5","DTPCD","","English","Dig Tech Pap IEEE Int Solid State Circuits Conf","Conference paper","Final","","Scopus","2-s2.0-85016238006"
"Wesenberg J.H.; Ardavan A.; Briggs G.A.D.; Morton J.J.L.; Schoelkopf R.J.; Schuster D.I.; Mølmer K.","Wesenberg, J.H. (6603565015); Ardavan, A. (7003985246); Briggs, G.A.D. (7102768202); Morton, J.J.L. (55613970800); Schoelkopf, R.J. (7004307507); Schuster, D.I. (7102831147); Mølmer, K. (7006239146)","6603565015; 7003985246; 7102768202; 55613970800; 7004307507; 7102831147; 7006239146","Quantum computing with an electron spin ensemble","2009","Physical Review Letters","103","7","070502","","","","208","10.1103/PhysRevLett.103.070502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68849085045&doi=10.1103%2fPhysRevLett.103.070502&partnerID=40&md5=d1d832b9812963727a4bfd9566ed69bb","Department of Materials, University of Oxford, Oxford OX1 3PH, United Kingdom; Clarendon Laboratory, Department of Physics, University of Oxford, Oxford OX1 3PH, United Kingdom; Department of Applied Physics, Yale University, New Haven, CT 06520, United States; Lundbeck Foundation Theoretical Center for Quantum System Research, Department of Physics and Astronomy, University of Aarhus, 8000 Aarhus C, Denmark","Wesenberg J.H., Department of Materials, University of Oxford, Oxford OX1 3PH, United Kingdom; Ardavan A., Clarendon Laboratory, Department of Physics, University of Oxford, Oxford OX1 3PH, United Kingdom; Briggs G.A.D., Department of Materials, University of Oxford, Oxford OX1 3PH, United Kingdom; Morton J.J.L., Department of Materials, University of Oxford, Oxford OX1 3PH, United Kingdom, Clarendon Laboratory, Department of Physics, University of Oxford, Oxford OX1 3PH, United Kingdom; Schoelkopf R.J., Department of Applied Physics, Yale University, New Haven, CT 06520, United States; Schuster D.I., Department of Applied Physics, Yale University, New Haven, CT 06520, United States; Mølmer K., Lundbeck Foundation Theoretical Center for Quantum System Research, Department of Physics and Astronomy, University of Aarhus, 8000 Aarhus C, Denmark","We propose to encode a register of quantum bits in different collective electron spin wave excitations in a solid medium. Coupling to spins is enabled by locating them in the vicinity of a superconducting transmission line cavity, and making use of their strong collective coupling to the quantized radiation field. The transformation between different spin waves is achieved by applying gradient magnetic fields across the sample, while a Cooper pair box, resonant with the cavity field, may be used to carry out one- and two-qubit gate operations. © 2009 The American Physical Society.","","Electrons; Magnetic fields; Multilayers; Quantum computers; Spin waves; Cavity field; Cooper-pair box; Electron spins; Gradient magnetic field; Quantum bits; Quantum Computing; Radiation field; Solid medium; Superconducting transmission lines; Two-qubit gates; Spin dynamics","Directorate for Mathematical and Physical Sciences, MPS, (0653377)","","","","","10797114","","PRLTA","","English","Phys Rev Lett","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-68849085045"
"Ioffe L.B.","Ioffe, L.B. (7004567667)","7004567667","Novel class of Josephson junction arrays with protected ground states and their application for quantum computing","2004","Proceedings of SPIE - The International Society for Optical Engineering","5436","","","250","261","11","0","10.1117/12.542595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444259032&doi=10.1117%2f12.542595&partnerID=40&md5=933a40d4f97cd9c8535df0010324ab1c","Center for Materials Theory, Department of Physics, Rutgers University, Piscataway, NJ 08854, 136 Frelinghuysen Rd, United States","Ioffe L.B., Center for Materials Theory, Department of Physics, Rutgers University, Piscataway, NJ 08854, 136 Frelinghuysen Rd, United States","A realistic implemetation of the macroscopic quantum computer requires that individual qubits are realized as quantum systems with degenerate ground states which are well protected from the effects of the environment. I show how this protection can be achieved in the new class of Josephson arrays with non-trivial symmetry or topology. For such ""topologically protected"" arrays the effect of noise is exponentially small in the array size which allows one in principle to get extremely small error rates and extremely long dephasing times in these systems. In this review I present a simple physical picture of the topological protection and explain why it is related to the presence of the topological order parameter in these systems. I formulate a set of general mathematical requirements on a model that ensures the appearance of the protected degenerate states and show how these conditions can be satisfied in a simple spin model. Finally I present Josephson junction array that is described by the mathematical model which satisfy these conditions and discuss its physical properties and how one can test these predictions experimentally.","Josephson junction arrays; Protected states; Quantum computation; Qubits","Computational methods; Computer simulation; Error analysis; Error correction; Ground state; Hamiltonians; Josephson junction devices; Mathematical models; Matrix algebra; Josephson junction arrays; Protected states; Quantum computation; Quantum computers; Qubits; Quantum theory","","","","","","0277786X","","PSISD","","English","Proc SPIE Int Soc Opt Eng","Conference paper","Final","","Scopus","2-s2.0-10444259032"
